Genus	pHAGD7_f2	pHAGD7_f3	pHAGD7_f7	pHAGD7_f8
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Parafilimonas	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Sediminibacterium	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Segetibacter	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Taibaiella	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Terrimonas	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;uncultured	1	0	2	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;env.OPS_17;env.OPS_17_ge	0	3	0	1
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Lentimicrobiaceae;Lentimicrobiaceae_ge	837	668	112	197
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Lentimicrobiaceae;Lentimicrobium	1537	916	195	355
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NS11-12_marine_group;NS11-12_marine_group_ge	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;PHOS-HE51;PHOS-HE51_ge	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;uncultured	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Nubsella	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	6	1	3	9
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Solitalea	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriales_unclassified;Sphingobacteriales_unclassified	0	10	0	0
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;uncultured;uncultured_ge	1	0	0	1
Bacteria;Bacteroidetes;WCHB1-32;WCHB1-32_or;WCHB1-32_fa;WCHB1-32_ge	153	53	37	47
Bacteria;BRC1;BRC1_cl;BRC1_or;BRC1_fa;BRC1_ge	863	541	339	339
Bacteria;Candidatus_Berkelbacteria;Candidatus_Berkelbacteria_cl;Candidatus_Berkelbacteria_or;Candidatus_Berkelbacteria_fa;Candidatus_Berkelbacteria_ge	8	2	0	4
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiales_Incertae_Sedis;Chlamydiales_Incertae_Sedis_unclassified	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiales_unclassified;Chlamydiales_unclassified	1	0	1	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Candidatus_Protochlamydia	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Neochlamydia	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Parachlamydiaceae_unclassified	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Simkaniaceae_unclassified	0	1	0	0
Bacteria;Chlamydiae;LD1-PA32;LD1-PA32_or;LD1-PA32_fa;LD1-PA32_ge	1	0	0	0
Bacteria;Chlorobi;Chlorobia;Chlorobiales;OPB56;OPB56_ge	314	299	79	211
Bacteria;Chlorobi;Chlorobia;Chlorobiales;SJA-28;SJA-28_ge	0	0	0	0
Bacteria;Chloroflexi;1-20;1-20_or;1-20_fa;1-20_ge	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea	1158	751	313	373
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineaceae_UCG-001	6	24	1	1
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolineaceae_unclassified	199	131	81	95
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Leptolinea	28	34	4	47
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;Ornatilinea	5	14	7	16
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured	2184	1386	832	1372
Bacteria;Chloroflexi;Ardenticatenia;uncultured;uncultured_fa;uncultured_ge	0	10	1	0
Bacteria;Chloroflexi;C10-SB1A;C10-SB1A_or;C10-SB1A_fa;C10-SB1A_ge	0	0	0	0
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilineaceae_unclassified	0	0	1	0
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Litorilinea	1	0	0	0
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;uncultured	5	20	21	6
Bacteria;Chloroflexi;Chloroflexi_cl;Chloroflexi_or;Chloroflexi_fa;Chloroflexi_ge	0	0	0	5
Bacteria;Chloroflexi;Chloroflexi_unclassified;Chloroflexi_unclassified;Chloroflexi_unclassified;Chloroflexi_unclassified	232	323	90	171
Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Roseiflexaceae;Roseiflexus	26	10	5	5
Bacteria;Chloroflexi;Chloroflexia;Herpetosiphonales;Herpetosiphonaceae;Herpetosiphon	0	0	0	4
Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;Dehalococcoidaceae;Dehalogenimonas	1	0	0	0
Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;uncultured;uncultured_ge	13	14	4	12
Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidia_or;Dehalococcoidia_fa;Dehalococcoidia_ge	10	3	6	8
Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidia_unclassified;Dehalococcoidia_unclassified;Dehalococcoidia_unclassified	0	7	6	13
Bacteria;Chloroflexi;Dehalococcoidia;FW22;FW22_fa;FW22_ge	22	56	6	18
Bacteria;Chloroflexi;Dehalococcoidia;GIF3;GIF3_fa;GIF3_ge	0	0	0	0
Bacteria;Chloroflexi;Dehalococcoidia;vadinBA26;vadinBA26_fa;vadinBA26_ge	0	9	2	5
Bacteria;Chloroflexi;Gitt-GS-136;Gitt-GS-136_or;Gitt-GS-136_fa;Gitt-GS-136_ge	0	0	1	0
Bacteria;Chloroflexi;JG30-KF-CM66;JG30-KF-CM66_or;JG30-KF-CM66_fa;JG30-KF-CM66_ge	19	28	11	13
Bacteria;Chloroflexi;JG37-AG-4;JG37-AG-4_or;JG37-AG-4_fa;JG37-AG-4_ge	0	0	0	0
Bacteria;Chloroflexi;KD4-96;KD4-96_or;KD4-96_fa;KD4-96_ge	164	43	43	104
Bacteria;Chloroflexi;Ktedonobacteria;C0119;C0119_fa;C0119_ge	57	67	15	27
Bacteria;Chloroflexi;Ktedonobacteria;JG30-KF-AS9;JG30-KF-AS9_fa;JG30-KF-AS9_ge	45	17	8	1
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;1921-3;1921-3_ge	0	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;1959-1;1959-1_ge	1	0	0	1
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;FCPS473;FCPS473_ge	0	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;HSB_OF53-F07;HSB_OF53-F07_ge	0	0	1	1
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter	0	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacteraceae_unclassified	0	0	1	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;uncultured	0	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacterales_unclassified;Ktedonobacterales_unclassified	0	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Thermosporotrichaceae;uncultured	0	0	0	0
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacteria_unclassified;Ktedonobacteria_unclassified;Ktedonobacteria_unclassified	0	0	0	0
Bacteria;Chloroflexi;KZNMV-5-B42;KZNMV-5-B42_or;KZNMV-5-B42_fa;KZNMV-5-B42_ge	0	0	0	0
Bacteria;Chloroflexi;P2-11E;P2-11E_or;P2-11E_fa;P2-11E_ge	0	0	0	0
Bacteria;Chloroflexi;S085;S085_or;S085_fa;S085_ge	195	88	11	48
Bacteria;Chloroflexi;SBR2076;SBR2076_or;SBR2076_fa;SBR2076_ge	193	73	64	103
Bacteria;Chloroflexi;SHA-26;SHA-26_or;SHA-26_fa;SHA-26_ge	156	61	40	51
Bacteria;Chloroflexi;SJA-15;SJA-15_or;SJA-15_fa;SJA-15_ge	981	546	360	623
Bacteria;Chloroflexi;SJA-68;SJA-68_or;SJA-68_fa;SJA-68_ge	42	15	23	40
Bacteria;Chloroflexi;Thermomicrobia;AKYG1722;AKYG1722_fa;AKYG1722_ge	0	0	0	0
Bacteria;Chloroflexi;Thermomicrobia;JG30-KF-CM45;JG30-KF-CM45_fa;JG30-KF-CM45_ge	11	0	1	0
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Nitrolancea	0	0	0	0
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter	0	0	0	0
Bacteria;Chloroflexi;TK10;TK10_or;TK10_fa;TK10_ge	147	129	34	75
Bacteria;Chloroflexi;uncultured;uncultured_or;uncultured_fa;uncultured_ge	44	19	33	56
Bacteria;Cloacimonetes;Cloacimonetes_unclassified;Cloacimonetes_unclassified;Cloacimonetes_unclassified;Cloacimonetes_unclassified	331	210	28	37
Bacteria;CPR2;CPR2_cl;CPR2_or;CPR2_fa;CPR2_ge	2	25	3	10
Bacteria;Cyanobacteria;Chloroplast;Chloroplast_or;Chloroplast_fa;Chloroplast_ge	6	17	4	6
Bacteria;Cyanobacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified	77	50	30	39
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;FamilyI_ge	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;FamilyI_unclassified	0	4	0	1
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;FamilyI;Merismopedia	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionII;FamilyII;Chroococcidiopsis	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;FamilyI_unclassified	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;Leptolyngbya	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;FamilyI;uncultured	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;FamilyI;Anabaena	9	42	7	12
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;FamilyI;Aphanizomenon	0	2	2	4
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;FamilyI;FamilyI_ge	58	52	22	8
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;FamilyI;FamilyI_unclassified	91	37	70	138
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;FamilyI;Gloeotrichia	1	3	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;FamilyI;Nostoc	66	14	6	15
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionV;FamilyI;FamilyI_ge	9	16	4	4
Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified	0	0	0	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;Gastranaerophilales_fa;Gastranaerophilales_ge	122	78	37	43
Bacteria;Cyanobacteria;Melainabacteria;Melainabacteria_unclassified;Melainabacteria_unclassified;Melainabacteria_unclassified	0	0	0	1
Bacteria;Cyanobacteria;Melainabacteria;Obscuribacterales;Obscuribacterales_fa;Obscuribacterales_ge	0	0	0	0
Bacteria;Cyanobacteria;Melainabacteria;Vampirovibrionales;Vampirovibrionales_fa;Vampirovibrionales_ge	0	1	2	0
Bacteria;Cyanobacteria;ML635J-21;ML635J-21_or;ML635J-21_fa;ML635J-21_ge	148	94	66	48
Bacteria;Deferribacteres;Deferribacteres_Incertae_Sedis;Unknown_Order;Unknown_Family;Caldithrix	0	1	0	0
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	0	0	0	0
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;uncultured	6	0	0	11
Bacteria;Deinococcus-Thermus;Deinococci;KD3-62;KD3-62_fa;KD3-62_ge	251	178	107	146
Bacteria;Elusimicrobia;Elusimicrobia;4-29;4-29_fa;4-29_ge	175	118	9	12
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobia_unclassified;Elusimicrobia_unclassified;Elusimicrobia_unclassified	0	0	0	4
Bacteria;Elusimicrobia;Elusimicrobia;Lineage_I;Unknown_Family;Candidatus_Endomicrobium	1844	1413	173	225
Bacteria;Elusimicrobia;Elusimicrobia;Lineage_IIa;Lineage_IIa_fa;Lineage_IIa_ge	0	0	1	0
Bacteria;Elusimicrobia;Elusimicrobia;Lineage_IIb;Lineage_IIb_fa;Lineage_IIb_ge	8	0	1	1
Bacteria;Elusimicrobia;Elusimicrobia;Lineage_IIc;Lineage_IIc_fa;Lineage_IIc_ge	10	23	14	11
Bacteria;Elusimicrobia;Elusimicrobia;Lineage_IV;Lineage_IV_fa;Lineage_IV_ge	0	1	0	5
Bacteria;Elusimicrobia;Elusimicrobia;MD2894-B20;MD2894-B20_fa;MD2894-B20_ge	0	0	0	0
Bacteria;Elusimicrobia;Elusimicrobia;MVP-88;MVP-88_fa;MVP-88_ge	29	15	4	28
Bacteria;Elusimicrobia;Elusimicrobia;Rs-M47;Rs-M47_fa;Rs-M47_ge	0	1	0	0
Bacteria;FBP;FBP_cl;FBP_or;FBP_fa;FBP_ge	0	0	0	0
Bacteria;FCPU426;FCPU426_cl;FCPU426_or;FCPU426_fa;FCPU426_ge	14	53	5	20
Bacteria;Fibrobacteres;Chitinivibrionia;possible_order_07;possible_order_07_fa;possible_order_07_ge	203	97	27	71
Bacteria;Fibrobacteres;Chitinivibrionia;uncultured;uncultured_fa;uncultured_ge	3	6	0	13
Bacteria;Fibrobacteres;Fibrobacteres_unclassified;Fibrobacteres_unclassified;Fibrobacteres_unclassified;Fibrobacteres_unclassified	0	0	0	0
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;09D2Z46;09D2Z46_ge	0	1	0	0
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;B122;B122_ge	38	9	10	18
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;possible_genus_04	0	1	0	0
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;uncultured	0	0	0	0
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacterales_unclassified;Fibrobacterales_unclassified	54	53	26	34
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;MAT-CR-H6-H10;MAT-CR-H6-H10_ge	1	0	0	0
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;possible_family_01;possible_family_01_ge	3286	2048	749	1044
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;SBYC;SBYC_ge	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Acidibacillus	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillaceae_unclassified	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus	0	1	0	1
Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Effusibacillus	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Tumebacillus	12	5	10	57
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillaceae_unclassified	199	67	97	100
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	31	64	40	28
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Fictibacillus	0	0	6	1
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus	118	92	82	173
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillales_unclassified;Bacillales_unclassified	38	8	4	8
Bacteria;Firmicutes;Bacilli;Bacillales;Family_XI;Gemella	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Ammoniphilus	1	0	0	2
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Aneurinibacillus	365	150	40	65
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus	7	2	18	4
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Cohnella	0	5	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Oxalophagus	9	11	21	35
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillaceae_unclassified	8	0	0	5
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus	90	104	23	40
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;uncultured	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Pasteuriaceae;Pasteuria	12	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Chungangia	7	1	2	12
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Domibacillus	3	1	3	2
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus	123	123	75	112
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planococcaceae_ge	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planococcaceae_unclassified	3916	2632	2325	4281
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Psychrobacillus	5	5	1	7
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Rummeliibacillus	0	0	1	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Solibacillus	0	0	0	1
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina	0	0	0	1
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Sporolactobacillaceae_unclassified	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Sporolactobacillaceae;Tuberibacillus	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	3	15	0	2
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Planifilum	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Shimazuella	0	0	1	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Thermoactinomyces	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Thermoactinomycetaceae_unclassified	0	2	2	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Thermoflavimicrobium	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;uncultured	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacilli_unclassified;Bacilli_unclassified;Bacilli_unclassified	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	1	3	0	2
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	0	0	1	2
Bacteria;Firmicutes;Clostridia;B55-F-B-G02;B55-F-B-G02_fa;B55-F-B-G02_ge	45	158	50	116
Bacteria;Firmicutes;Clostridia;Clostridia_unclassified;Clostridia_unclassified;Clostridia_unclassified	309	174	135	210
Bacteria;Firmicutes;Clostridia;Clostridiales;Caldicoprobacteraceae;Caldicoprobacter	80	10	19	21
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_ge	0	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_R-7_group	2338	1344	439	570
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_unclassified	145	35	21	24
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;uncultured	1307	818	401	618
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Anaerobacter	30	8	7	13
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Caloramator	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Candidatus_Arthromitus	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridiaceae_1_unclassified	411	100	106	149
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1	1195	674	321	516
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_10	3497	2119	1183	2304
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_11	20	2	4	10
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_12	783	397	190	540
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_13	82	89	35	47
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_14	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_19	0	0	0	0
